offerId	priceUSD	rewards
offer_daily_ability_token_bundle_CU_S1_HD	8.99	draft_abilityTokensUncommon:12,draft_abilityTokensUncommon:12,draft_abilityTokensUncommon:12,draft_abilityTokensCommon:12,draft_abilityTokensCommon:12,draft_abilityTokensCommon:12
offer_daily_ability_token_bundle_CU_S1_LD	3.99	draft_abilityTokensUncommon:5,draft_abilityTokensUncommon:5,draft_abilityTokensUncommon:5,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6
offer_daily_ability_token_bundle_CU_S1_MD	6.99	draft_abilityTokensUncommon:9,draft_abilityTokensUncommon:9,draft_abilityTokensUncommon:9,draft_abilityTokensCommon:10,draft_abilityTokensCommon:10,draft_abilityTokensCommon:10
offer_daily_ability_token_bundle_CU_S1_SHD	9.99	draft_abilityTokensUncommon:13,draft_abilityTokensUncommon:13,draft_abilityTokensUncommon:13,draft_abilityTokensCommon:14,draft_abilityTokensCommon:14,draft_abilityTokensCommon:14
offer_daily_ability_token_bundle_CU_S4_HD	14.99	draft_abilityTokensUncommon:21,draft_abilityTokensUncommon:21,draft_abilityTokensUncommon:21,draft_abilityTokensCommon:18,draft_abilityTokensCommon:18,draft_abilityTokensCommon:18
offer_daily_ability_token_bundle_CU_S4_LD	4.99	draft_abilityTokensUncommon:7,draft_abilityTokensUncommon:7,draft_abilityTokensUncommon:7,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6
offer_daily_ability_token_bundle_CU_S4_MD	9.99	draft_abilityTokensUncommon:14,draft_abilityTokensUncommon:14,draft_abilityTokensUncommon:14,draft_abilityTokensCommon:12,draft_abilityTokensCommon:12,draft_abilityTokensCommon:12
offer_daily_ability_token_bundle_CU_S4_SHD	19.99	draft_abilityTokensUncommon:26,draft_abilityTokensUncommon:26,draft_abilityTokensUncommon:26,draft_abilityTokensCommon:28,draft_abilityTokensCommon:28,draft_abilityTokensCommon:28
offer_daily_ability_token_bundle_CU_XS3_HD	5.99	draft_abilityTokensUncommon:8,draft_abilityTokensUncommon:8,draft_abilityTokensUncommon:8,draft_abilityTokensCommon:8,draft_abilityTokensCommon:8,draft_abilityTokensCommon:8
offer_daily_ability_token_bundle_CU_XS3_LD	2.99	draft_abilityTokensUncommon:4,draft_abilityTokensUncommon:4,draft_abilityTokensUncommon:4,draft_abilityTokensCommon:4,draft_abilityTokensCommon:4,draft_abilityTokensCommon:4
offer_daily_ability_token_bundle_CU_XS3_MD	4.99	draft_abilityTokensUncommon:7,draft_abilityTokensUncommon:7,draft_abilityTokensUncommon:7,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6,draft_abilityTokensCommon:6
offer_daily_ability_token_bundle_CU_XS3_SHD	7.99	draft_abilityTokensUncommon:11,draft_abilityTokensUncommon:11,draft_abilityTokensUncommon:11,draft_abilityTokensCommon:10,draft_abilityTokensCommon:10,draft_abilityTokensCommon:10
offer_daily_ability_token_bundle_EL_L1_HD	34.99	draft_abilityTokensLegendary:12,draft_abilityTokensLegendary:9,draft_abilityTokensEpic:12,draft_abilityTokensEpic:9
offer_daily_ability_token_bundle_EL_L1_LD	14.99	draft_abilityTokensLegendary:9,draft_abilityTokensEpic:9
offer_daily_ability_token_bundle_EL_L1_MD	24.99	draft_abilityTokensLegendary:9,draft_abilityTokensLegendary:6,draft_abilityTokensEpic:9,draft_abilityTokensEpic:6
offer_daily_ability_token_bundle_EL_L1_SHD	39.99	draft_abilityTokensLegendary:12,draft_abilityTokensLegendary:12,draft_abilityTokensEpic:12,draft_abilityTokensEpic:12
offer_daily_ability_token_bundle_EL_M3_HD	24.99	draft_abilityTokensLegendary:9,draft_abilityTokensLegendary:6,draft_abilityTokensEpic:9,draft_abilityTokensEpic:6
offer_daily_ability_token_bundle_EL_M3_LD	9.99	draft_abilityTokensLegendary:6,draft_abilityTokensEpic:6
offer_daily_ability_token_bundle_EL_M3_MD	19.99	draft_abilityTokensLegendary:6,draft_abilityTokensLegendary:6,draft_abilityTokensEpic:6,draft_abilityTokensEpic:6
offer_daily_ability_token_bundle_EL_M3_SHD	29.99	draft_abilityTokensLegendary:9,draft_abilityTokensLegendary:9,draft_abilityTokensEpic:9,draft_abilityTokensEpic:9
offer_daily_ability_token_bundle_EL_S4_HD	14.99	draft_abilityTokensLegendary:6,draft_abilityTokensLegendary:3,draft_abilityTokensEpic:6,draft_abilityTokensEpic:3
offer_daily_ability_token_bundle_EL_S4_LD	4.99	draft_abilityTokensLegendary:2,draft_abilityTokensLegendary:1,draft_abilityTokensEpic:2,draft_abilityTokensEpic:1
offer_daily_ability_token_bundle_EL_S4_MD	9.99	draft_abilityTokensLegendary:3,draft_abilityTokensLegendary:3,draft_abilityTokensEpic:3,draft_abilityTokensEpic:3
offer_daily_ability_token_bundle_EL_S4_SHD	19.99	draft_abilityTokensLegendary:6,draft_abilityTokensLegendary:6,draft_abilityTokensEpic:6,draft_abilityTokensEpic:6
offer_daily_ability_token_bundle_LM_L1_HD	34.99	draft_abilityTokensMythic:7,draft_abilityTokensMythic:7,draft_abilityTokensLegendary:7,draft_abilityTokensLegendary:7
offer_daily_ability_token_bundle_LM_L1_LD	14.99	draft_abilityTokensMythic:3,draft_abilityTokensMythic:3,draft_abilityTokensLegendary:3,draft_abilityTokensLegendary:3
offer_daily_ability_token_bundle_LM_L1_MD	24.99	draft_abilityTokensMythic:5,draft_abilityTokensMythic:5,draft_abilityTokensLegendary:5,draft_abilityTokensLegendary:5
offer_daily_ability_token_bundle_LM_L1_SHD	39.99	draft_abilityTokensMythic:8,draft_abilityTokensMythic:8,draft_abilityTokensLegendary:8,draft_abilityTokensLegendary:8
offer_daily_ability_token_bundle_LM_M2_HD	19.99	draft_abilityTokensMythic:4,draft_abilityTokensMythic:4,draft_abilityTokensLegendary:4,draft_abilityTokensLegendary:4
offer_daily_ability_token_bundle_LM_M2_LD	9.99	draft_abilityTokensMythic:2,draft_abilityTokensMythic:2,draft_abilityTokensLegendary:2,draft_abilityTokensLegendary:2
offer_daily_ability_token_bundle_LM_M2_MD	14.99	draft_abilityTokensMythic:3,draft_abilityTokensMythic:3,draft_abilityTokensLegendary:3,draft_abilityTokensLegendary:3
offer_daily_ability_token_bundle_LM_M2_SHD	24.99	draft_abilityTokensMythic:5,draft_abilityTokensMythic:5,draft_abilityTokensLegendary:5,draft_abilityTokensLegendary:5
offer_daily_ability_token_bundle_LM_S2_HD	9.99	draft_abilityTokensMythic:4,draft_abilityTokensLegendary:4
offer_daily_ability_token_bundle_LM_S2_LD	4.99	draft_abilityTokensMythic:2,draft_abilityTokensLegendary:2
offer_daily_ability_token_bundle_LM_S2_MD	4.99	draft_abilityTokensMythic:2,draft_abilityTokensLegendary:2
offer_daily_ability_token_bundle_LM_S2_SHD	14.99	draft_abilityTokensMythic:6,draft_abilityTokensLegendary:6
offer_daily_ability_token_bundle_RE_M2_HD	19.99	draft_abilityTokensEpic:10,draft_abilityTokensEpic:10,draft_abilityTokensRare:14,draft_abilityTokensRare:14
offer_daily_ability_token_bundle_RE_M2_LD	7.99	draft_abilityTokensEpic:8,draft_abilityTokensRare:11
offer_daily_ability_token_bundle_RE_M2_MD	15.99	draft_abilityTokensEpic:8,draft_abilityTokensEpic:8,draft_abilityTokensRare:11,draft_abilityTokensRare:11
offer_daily_ability_token_bundle_RE_M2_SHD	24.99	draft_abilityTokensEpic:13,draft_abilityTokensEpic:13,draft_abilityTokensRare:16,draft_abilityTokensRare:16
