Tier,Wave,Min Tyranid Count,Average Tyranid Count,Max Tyranid Count,Expected Tyranid Count,Min Total Enemy Count,Average Total Enemy Count,Max Total Enemy Count,Expected Count of All Waves in Tier
stone_1,1,6,6.00,6,6.00,6,6.00,6,6.00
stone_1,3,6,6.00,6,6.00,6,6.00,6,6.00
stone_1,4,4,4.00,4,4.00,4,4.00,4,4.00
stone_1,5,4,4.00,4,4.00,4,4.00,4,4.00
stone_1,6,6,6.00,6,6.00,6,6.00,6,6.00
stone_1,8,6,6.00,6,6.00,6,6.00,6,6.00,32.00,32.00
stone_2,1,6,6.00,6,6.00,6,6.00,6,6.00
stone_2,3,6,6.00,6,6.00,6,6.00,6,6.00
stone_2,4,4,4.00,4,4.00,4,4.00,4,4.00
stone_2,5,4,4.00,4,4.00,4,4.00,4,4.00
stone_2,6,6,6.00,6,6.00,6,6.00,6,6.00
stone_2,8,3,5.00,6,5.40,3,5.00,6,5.40,31.40,31.40
stone_3,1,6,6.00,6,6.00,6,6.00,6,6.00
stone_3,3,6,6.00,6,6.00,6,6.00,6,6.00
stone_3,4,2,2.00,2,2.00,2,2.00,2,2.00
stone_3,5,6,6.00,6,6.00,6,6.00,6,6.00
stone_3,6,3,5.00,6,5.40,3,5.00,6,5.40
stone_3,8,3,5.00,6,5.40,3,5.00,6,5.40,30.80,30.80
iron_1,1,12,12.00,12,12.00,12,12.00,12,12.00
iron_1,3,6,8.50,12,8.10,6,8.50,12,8.10
iron_1,4,2,4.00,6,4.40,2,4.00,6,4.40
iron_1,5,6,6.00,6,6.00,6,6.00,6,6.00
iron_1,6,4,5.33,6,5.60,4,5.33,6,5.60
iron_1,8,3,7.75,12,7.35,3,7.75,12,7.35,43.45,43.45
iron_2,1,7,9.33,12,9.60,7,9.33,12,9.60
iron_2,3,3,7.75,12,7.35,3,7.75,12,7.35
iron_2,4,3,5.33,7,5.80,3,5.33,7,5.80
iron_2,5,12,12.00,12,12.00,12,12.00,12,12.00
iron_2,6,3,4.67,6,5.00,3,4.67,6,5.00
iron_2,8,3,7.25,12,6.75,3,7.25,12,6.75,46.50,46.50
iron_3,1,7,9.25,12,9.35,7,9.25,12,9.35
