unit,target_rank,quantity,upgrade_material,rarity
adeptCanoness,STONE_2,1,upgArmC001,Common
adeptCanoness,STONE_2,1,upgArmC006,Common
adeptCanoness,STONE_2,1,upgDmgC011,Common
adeptCanoness,STONE_2,1,upgDmgC013,Common
adeptCanoness,STONE_2,1,upgHpC004,Common
adeptCanoness,STONE_2,1,upgHpC017,Common
adeptCanoness,STONE_3,1,upgArmC006,Common
adeptCanoness,STONE_3,1,upgDmgC002,Common
adeptCanoness,STONE_3,1,upgHpC003,Common
adeptCanoness,STONE_3,1,upgHpC006,Common
adeptCanoness,STONE_3,1,upgArmU013,Uncommon
adeptCanoness,STONE_3,1,upgDmgU003,Uncommon
adeptCanoness,IRON_1,1,upgArmC013,Common
adeptCanoness,IRON_1,6,upgDmgC002,Common
adeptCanoness,IRON_1,1,upgHpC015,Common
adeptCanoness,IRON_1,1,upgArmU009,Uncommon
adeptCanoness,IRON_1,1,upgDmgU003,Uncommon
adeptCanoness,IRON_1,1,upgHpU002,Uncommon
adeptCanoness,IRON_2,6,upgArmC004,Common
adeptCanoness,IRON_2,2,upgDmgC003,Common
adeptCanoness,IRON_2,4,upgDmgC011,Common
adeptCanoness,IRON_2,1,upgArmU001,Uncommon
adeptCanoness,IRON_2,1,upgDmgU004,Uncommon
adeptCanoness,IRON_2,1,upgHpU016,Uncommon
adeptCanoness,IRON_2,1,upgHpU017,Uncommon
adeptCanoness,IRON_3,6,upgArmC002,Common
adeptCanoness,IRON_3,6,upgDmgC009,Common
adeptCanoness,IRON_3,3,upgDmgC010,Common
adeptCanoness,IRON_3,3,upgDmgC013,Common
adeptCanoness,IRON_3,6,upgArmU005,Uncommon
adeptCanoness,IRON_3,5,upgDmgU012,Uncommon
adeptCanoness,IRON_3,1,upgHpU002,Uncommon
adeptCanoness,IRON_3,1,upgHpU008,Uncommon
adeptCanoness,BRONZE_1,4,upgArmC006,Common
adeptCanoness,BRONZE_1,2,upgDmgC003,Common
adeptCanoness,BRONZE_1,4,upgDmgC011,Common
adeptCanoness,BRONZE_1,2,upgHpC015,Common
adeptCanoness,BRONZE_1,6,upgHpC017,Common
adeptCanoness,BRONZE_1,1,upgDmgR022,Rare
adeptCanoness,BRONZE_1,1,upgHpR018,Rare
adeptCanoness,BRONZE_1,1,upgArmU008,Uncommon
adeptCanoness,BRONZE_1,5,upgArmU013,Uncommon
adeptCanoness,BRONZE_1,5,upgHpU017,Uncommon
adeptCanoness,BRONZE_2,3,upgArmC001,Common
adeptCanoness,BRONZE_2,4,upgArmC012,Common
adeptCanoness,BRONZE_2,4,upgArmC013,Common
adeptCanoness,BRONZE_2,2,upgDmgC007,Common
adeptCanoness,BRONZE_2,2,upgHpC013,Common
adeptCanoness,BRONZE_2,3,upgHpC016,Common
adeptCanoness,BRONZE_2,6,upgHpC017,Common
adeptCanoness,BRONZE_2,1,upgDmgR002,Rare
adeptCanoness,BRONZE_2,1,upgHpR022,Rare
adeptCanoness,BRONZE_2,5,upgArmU001,Uncommon
adeptCanoness,BRONZE_2,5,upgArmU009,Uncommon
adeptCanoness,BRONZE_2,5,upgDmgU010,Uncommon
adeptCanoness,BRONZE_2,5,upgHpU017,Uncommon
adeptCanoness,BRONZE_3,6,upgArmC004,Common
adeptCanoness,BRONZE_3,4,upgArmC012,Common
adeptCanoness,BRONZE_3,4,upgDmgC003,Common
adeptCanoness,BRONZE_3,2,upgDmgC007,Common
adeptCanoness,BRONZE_3,6,upgHpC003,Common
adeptCanoness,BRONZE_3,3,upgHpC006,Common
adeptCanoness,BRONZE_3,3,upgHpC015,Common
adeptCanoness,BRONZE_3,1,upgArmR022,Rare
adeptCanoness,BRONZE_3,4,upgDmgR002,Rare
adeptCanoness,BRONZE_3,9,upgHpR022,Rare
adeptCanoness,BRONZE_3,5,upgArmU002,Uncommon
adeptCanoness,BRONZE_3,5,upgDmgU010,Uncommon
adeptCanoness,BRONZE_3,5,upgHpU002,Uncommon
adeptCanoness,BRONZE_3,5,upgHpU007,Uncommon
adeptCanoness,SILVER_1,3,upgArmC001,Common
adeptCanoness,SILVER_1,4,upgArmC002,Common
adeptCanoness,SILVER_1,2,upgDmgC003,Common
adeptCanoness,SILVER_1,6,upgDmgC010,Common
adeptCanoness,SILVER_1,4,upgDmgC011,Common
adeptCanoness,SILVER_1,3,upgHpC016,Common
adeptCanoness,SILVER_1,1,upgHpE012,Epic
adeptCanoness,SILVER_1,9,upgArmR022,Rare
adeptCanoness,SILVER_1,9,upgDmgR022,Rare
adeptCanoness,SILVER_1,4,upgHpR002,Rare
adeptCanoness,SILVER_1,5,upgArmU001,Uncommon
adeptCanoness,SILVER_1,5,upgArmU008,Uncommon
adeptCanoness,SILVER_1,5,upgDmgU003,Uncommon
adeptCanoness,SILVER_2,6,upgArmC001,Common
adeptCanoness,SILVER_2,4,upgArmC006,Common
adeptCanoness,SILVER_2,6,upgHpC015,Common
adeptCanoness,SILVER_2,1,upgDmgE003,Epic
adeptCanoness,SILVER_2,9,upgArmR022,Rare
adeptCanoness,SILVER_2,9,upgDmgR022,Rare
adeptCanoness,SILVER_2,4,upgHpR002,Rare
adeptCanoness,SILVER_2,6,upgHpR005,Rare
adeptCanoness,SILVER_2,9,upgHpR022,Rare
adeptCanoness,SILVER_2,5,upgArmU013,Uncommon
adeptCanoness,SILVER_2,6,upgHpU007,Uncommon
adeptCanoness,SILVER_3,6,upgArmC001,Common
adeptCanoness,SILVER_3,8,upgArmC002,Common
adeptCanoness,SILVER_3,4,upgDmgC003,Common
adeptCanoness,SILVER_3,8,upgDmgC011,Common
adeptCanoness,SILVER_3,6,upgHpC002,Common
adeptCanoness,SILVER_3,6,upgHpC016,Common
adeptCanoness,SILVER_3,1,upgDmgE003,Epic
adeptCanoness,SILVER_3,18,upgArmR022,Rare
adeptCanoness,SILVER_3,6,upgDmgR006,Rare
adeptCanoness,SILVER_3,18,upgDmgR022,Rare
adeptCanoness,SILVER_3,8,upgHpR002,Rare
adeptCanoness,SILVER_3,9,upgHpR022,Rare
adeptCanoness,SILVER_3,10,upgArmU001,Uncommon
adeptCanoness,SILVER_3,10,upgDmgU003,Uncommon
adeptCanoness,SILVER_3,6,upgHpU014,Uncommon
adeptCanoness,GOLD_1,12,upgArmC001,Common
adeptCanoness,GOLD_1,12,upgArmC006,Common
adeptCanoness,GOLD_1,4,upgDmgC003,Common
adeptCanoness,GOLD_1,6,upgDmgC010,Common
adeptCanoness,GOLD_1,8,upgDmgC011,Common
adeptCanoness,GOLD_1,10,upgDmgC013,Common
adeptCanoness,GOLD_1,6,upgHpC015,Common
adeptCanoness,GOLD_1,8,upgHpC016,Common
adeptCanoness,GOLD_1,5,upgArmE009,Epic
adeptCanoness,GOLD_1,9,upgArmR022,Rare
adeptCanoness,GOLD_1,9,upgDmgR022,Rare
adeptCanoness,GOLD_1,12,upgHpR005,Rare
adeptCanoness,GOLD_1,18,upgHpR022,Rare
adeptCanoness,GOLD_1,2,upgArmU001,Uncommon
adeptCanoness,GOLD_1,15,upgArmU013,Uncommon
adeptCanoness,GOLD_1,10,upgDmgU003,Uncommon
adeptCanoness,GOLD_1,10,upgDmgU012,Uncommon
adeptCanoness,GOLD_1,12,upgHpU007,Uncommon
adeptCanoness,GOLD_1,10,upgHpU016,Uncommon
adeptCanoness,GOLD_2,12,upgArmC001,Common
adeptCanoness,GOLD_2,4,upgArmC002,Common
adeptCanoness,GOLD_2,8,upgArmC003,Common
adeptCanoness,GOLD_2,4,upgArmC013,Common
adeptCanoness,GOLD_2,16,upgDmgC003,Common
adeptCanoness,GOLD_2,8,upgDmgC011,Common
adeptCanoness,GOLD_2,6,upgHpC003,Common
adeptCanoness,GOLD_2,6,upgHpC013,Common
adeptCanoness,GOLD_2,12,upgHpC016,Common
adeptCanoness,GOLD_2,13,upgDmgE003,Epic
adeptCanoness,GOLD_2,5,upgHpE003,Epic
adeptCanoness,GOLD_2,5,upgHpE012,Epic
adeptCanoness,GOLD_2,9,upgHpL102,Legendary
adeptCanoness,GOLD_2,18,upgArmR022,Rare
adeptCanoness,GOLD_2,7,upgDmgR003,Rare
adeptCanoness,GOLD_2,18,upgDmgR022,Rare
adeptCanoness,GOLD_2,4,upgHpR002,Rare
adeptCanoness,GOLD_2,20,upgArmU001,Uncommon
adeptCanoness,GOLD_2,5,upgArmU009,Uncommon
adeptCanoness,GOLD_2,10,upgDmgU003,Uncommon
adeptCanoness,GOLD_2,10,upgDmgU009,Uncommon
adeptCanoness,GOLD_2,5,upgHpU002,Uncommon
adeptCanoness,GOLD_2,10,upgHpU012,Uncommon
adeptCanoness,GOLD_3,6,upgArmC001,Common
adeptCanoness,GOLD_3,12,upgArmC006,Common
adeptCanoness,GOLD_3,12,upgDmgC003,Common
adeptCanoness,GOLD_3,3,upgDmgC005,Common
adeptCanoness,GOLD_3,3,upgDmgC008,Common
adeptCanoness,GOLD_3,15,upgDmgC010,Common
adeptCanoness,GOLD_3,3,upgDmgC013,Common
adeptCanoness,GOLD_3,6,upgHpC002,Common
adeptCanoness,GOLD_3,6,upgHpC015,Common
adeptCanoness,GOLD_3,5,upgArmE009,Epic
adeptCanoness,GOLD_3,6,upgDmgE001,Epic
adeptCanoness,GOLD_3,7,upgDmgE003,Epic
adeptCanoness,GOLD_3,18,upgHpL102,Legendary
adeptCanoness,GOLD_3,7,upgDmgR003,Rare
adeptCanoness,GOLD_3,15,upgDmgR006,Rare
adeptCanoness,GOLD_3,6,upgHpR005,Rare
adeptCanoness,GOLD_3,18,upgHpR022,Rare
adeptCanoness,GOLD_3,10,upgArmU008,Uncommon
adeptCanoness,GOLD_3,15,upgArmU013,Uncommon
adeptCanoness,GOLD_3,10,upgDmgU009,Uncommon
adeptCanoness,GOLD_3,5,upgDmgU011,Uncommon
adeptCanoness,GOLD_3,7,upgDmgU012,Uncommon
adeptCanoness,GOLD_3,6,upgHpU007,Uncommon
adeptCanoness,GOLD_3,6,upgHpU014,Uncommon
adeptCanoness,DIAMOND_1,15,upgArmC001,Common
adeptCanoness,DIAMOND_1,4,upgDmgC003,Common
adeptCanoness,DIAMOND_1,3,upgDmgC005,Common
adeptCanoness,DIAMOND_1,3,upgDmgC008,Common
adeptCanoness,DIAMOND_1,9,upgDmgC010,Common
adeptCanoness,DIAMOND_1,8,upgDmgC011,Common
adeptCanoness,DIAMOND_1,13,upgDmgC013,Common
adeptCanoness,DIAMOND_1,6,upgHpC003,Common
adeptCanoness,DIAMOND_1,17,upgHpC016,Common
adeptCanoness,DIAMOND_1,6,upgDmgE001,Epic
adeptCanoness,DIAMOND_1,6,upgDmgE003,Epic
adeptCanoness,DIAMOND_1,5,upgHpE003,Epic
adeptCanoness,DIAMOND_1,27,upgHpL102,Legendary
adeptCanoness,DIAMOND_1,9,upgDmgR006,Rare
adeptCanoness,DIAMOND_1,6,upgHpR005,Rare
adeptCanoness,DIAMOND_1,17,upgArmU001,Uncommon
adeptCanoness,DIAMOND_1,10,upgDmgU003,Uncommon
adeptCanoness,DIAMOND_1,5,upgDmgU011,Uncommon
adeptCanoness,DIAMOND_1,15,upgDmgU012,Uncommon
adeptCanoness,DIAMOND_1,5,upgHpU002,Uncommon
adeptCanoness,DIAMOND_1,6,upgHpU007,Uncommon
adeptCanoness,DIAMOND_1,10,upgHpU016,Uncommon
adeptCanoness,DIAMOND_2,6,upgArmC001,Common
adeptCanoness,DIAMOND_2,12,upgArmC002,Common
adeptCanoness,DIAMOND_2,12,upgDmgC003,Common
adeptCanoness,DIAMOND_2,3,upgDmgC005,Common
adeptCanoness,DIAMOND_2,3,upgDmgC008,Common
adeptCanoness,DIAMOND_2,3,upgDmgC010,Common
adeptCanoness,DIAMOND_2,7,upgDmgC013,Common
adeptCanoness,DIAMOND_2,6,upgHpC003,Common
adeptCanoness,DIAMOND_2,8,upgHpC016,Common
adeptCanoness,DIAMOND_2,3,upgArmE010,Epic
adeptCanoness,DIAMOND_2,6,upgDmgE001,Epic
adeptCanoness,DIAMOND_2,13,upgDmgE003,Epic
adeptCanoness,DIAMOND_2,27,upgHpL102,Legendary
adeptCanoness,DIAMOND_2,12,upgArmR015,Rare
adeptCanoness,DIAMOND_2,7,upgDmgR003,Rare
adeptCanoness,DIAMOND_2,9,upgDmgR006,Rare
adeptCanoness,DIAMOND_2,6,upgHpR005,Rare
adeptCanoness,DIAMOND_2,2,upgArmU001,Uncommon
adeptCanoness,DIAMOND_2,12,upgArmU005,Uncommon
adeptCanoness,DIAMOND_2,10,upgDmgU009,Uncommon
adeptCanoness,DIAMOND_2,5,upgDmgU011,Uncommon
adeptCanoness,DIAMOND_2,5,upgDmgU012,Uncommon
adeptCanoness,DIAMOND_2,5,upgHpU002,Uncommon
adeptCanoness,DIAMOND_2,6,upgHpU007,Uncommon
adeptCanoness,DIAMOND_2,10,upgHpU016,Uncommon
adeptCanoness,DIAMOND_3,3,upgDmgC005,Common
adeptCanoness,DIAMOND_3,3,upgDmgC008,Common
adeptCanoness,DIAMOND_3,3,upgDmgC010,Common
