battleNr,sector,zone,gold_1.36,gold_1.37,gold_1.38,gold_1.39,gold_1.40,gold_1.41
1,1,1,503,503,503,503,503,503
2,1,2,581,581,581,581,581,581
3,1,3,801,801,801,801,801,801
4,2,1,740,740,740,740,740,740
5,2,2,753,753,753,753,753,753
6,2,3,878,878,878,878,878,878
7,2,4,917,917,917,917,917,917
8,3,1,855,855,855,855,855,855
9,3,2,960,960,960,960,960,960
10,3,3,1090,1090,1090,1090,1090,1090
11,3,4,900,900,900,900,900,900
12,3,5,1075,1075,1075,1075,1075,1075
13,4,1,939,939,939,939,939,939
14,4,2,1151,1151,1151,1151,1151,1151
15,4,3,1071,1071,1071,1071,1071,1071
16,4,4,1089,1089,1089,1089,1089,1089
17,4,5,1370,1370,1370,1370,1370,1370
18,5,1,1247,1247,1247,1247,1247,1247
19,5,2,1734,1734,1734,1734,1734,1734
20,5,3,1372,1372,1372,1372,1372,1372
21,5,4,1600,1600,1600,1600,1600,1600
22,5,5,2079,2079,2079,2079,2079,2079
23,6,1,1700,1700,1700,1700,1700,1700
24,6,2,1635,1635,1635,1635,1635,1635
25,6,3,1465,1465,1465,1465,1465,1465
26,6,4,1790,1790,1790,1790,1790,1790
27,6,5,2570,2570,2570,2570,2570,2570
28,7,1,2046,2046,2046,2046,2046,2046
29,7,2,2342,2342,2342,2342,2342,2342
30,7,3,2128,2128,2128,2128,2128,2128
31,7,4,2176,2176,2176,2176,2176,2176
32,7,5,3090,3090,3090,3090,3090,3090
33,8,1,2870,2870,2870,2870,2870,2870
34,8,2,3310,3310,3310,3310,3310,3310
35,8,3,2470,2470,2470,2470,2470,2470
36,8,4,2910,2910,2910,2910,2910,2910
37,8,5,4180,4180,4180,4180,4180,4180
38,9,1,3318,3318,3318,3318,3318,3318
39,9,2,3070,3070,3070,3070,3070,3070
40,9,3,3584,3584,3584,3584,3584,3584
41,9,4,3190,3190,3190,3190,3190,3190
42,9,5,3684,3684,3684,3684,3684,3684
43,9,6,4900,4900,4900,4900,4900,4900
44,10,1,3389,3389,3389,3389,3389,3389
45,10,2,3847,3847,3847,3847,3847,3847
46,10,3,4200,4200,4200,4200,4200,4200
47,10,4,3929,3929,3929,3929,3929,3929
48,10,5,3724,3724,3724,3724,3724,3724
49,10,6,5179,5179,5179,5179,5179,5179
50,11,1,4654,4654,4654,4654,4654,4654
51,11,2,4438,4438,4438,4438,4438,4438
52,11,3,4982,4982,4982,4982,4982,4982
53,11,4,6094,6094,6094,6094,6094,6094
54,11,5,4208,4208,4208,4208,4208,4208
55,11,6,9821,9821,9821,9821,9821,9821
56,12,1,4660,4660,4660,4660,4660,4660
57,12,2,5480,5480,5480,5480,5480,5480
58,12,3,5988,5988,5988,5988,5988,5988
59,12,4,6264,6264,6264,6264,6264,6264
60,12,5,5760,5760,5760,5760,5760,5760
61,12,6,10836,10836,10836,10836,10836,10836
62,13,1,6460,6460,6460,6460,6460,6460
63,13,2,6262,6262,6262,6262,6262,6262
64,13,3,6706,6706,6706,6706,6706,6706
65,13,4,7036,7036,7036,7036,7036,7036
66,13,5,6274,6274,6274,6274,6274,6274
67,13,6,12274,12274,12274,12274,12274,12274
68,14,1,7504,7504,7504,7504,7504,7504
69,14,2,7545,7545,7545,7545,7545,7545
70,14,3,7860,7860,7860,7860,7860,7860
71,14,4,7882,7882,7882,7882,7882,7882
72,14,5,7500,7500,7500,7500,7500,7500
73,14,6,13340,13340,13340,13340,13340,13340
74,15,1,8605,8605,8605,8605,8605,8605
75,15,2,7788,7788,7788,7788,7788,7788
76,15,3,7509,7509,7509,7509,7509,7509
77,15,4,8240,8240,8240,8240,8240,8240
78,15,5,8968,8968,8968,8968,8968,8968
79,15,6,15127,15127,15127,15127,15127,15127
80,16,1,10456,10456,10456,10456,10456,10456
81,16,2,8932,8932,8932,8932,8932,8932
82,16,3,8378,8378,8378,8378,8378,8378
83,16,4,9222,9222,9222,9222,9222,9222
84,16,5,8903,8903,8903,8903,8903,8903
85,16,6,19066,19066,19066,19066,19066,19066
86,17,1,10144,10144,10144,10144,10144,10144
87,17,2,9084,9084,9084,9084,9084,9084
88,17,3,10504,10504,10504,10504,10504,10504
89,17,4,12388,12388,12388,12388,12388,12388
90,17,5,10232,10232,10232,10232,10232,10232
91,17,6,19316,19316,19316,19316,19316,19316
92,18,1,9550,9550,9550,9550,9550,9550
93,18,2,11500,11500,11500,11500,11500,11500
94,18,3,12344,12344,12344,12344,12344,12344
95,18,4,12842,12842,12842,12842,12842,12842
96,18,5,11630,11630,11630,11630,11630,11630
97,18,6,22908,22908,22908,22908,22908,22908
98,19,1,11935,11935,11935,11935,11935,11935
99,19,2,12052,12052,12052,12052,12052,12052
100,19,3,12061,12061,12061,12061,12061,12061
101,19,4,12841,12841,12841,12841,12841,12841
102,19,5,11244,11244,11244,11244,11244,11244
103,19,6,22654,22654,22654,22654,22654,22654
104,20,1,13444,13444,13444,13444,13444,13444
105,20,2,13410,13410,13410,13410,13410,13410
106,20,3,13910,13910,13910,13910,13910,13910
107,20,4,13712,13712,13712,13712,13712,13712
108,20,5,13325,13325,13325,13325,13325,13325
109,20,6,17293,17293,17293,17293,17293,17293
110,21,1,10866,10866,10866,10866,10866,10866
111,21,2,15596,15596,15596,15596,15596,15596
112,21,3,14573,14573,14573,14573,14573,14573
113,21,4,12792,13332,13332,13332,13332,13332
114,21,5,14503,14503,14503,14503,14503,14503
115,21,6,29950,29950,29950,29950,29950,29950
116,22,1,14343,14343,14343,14343,14343,14343
117,22,2,14975,14975,14975,14975,14975,14975
118,22,3,15125,15125,15125,15125,15125,15125
119,22,4,12418,12418,12418,12418,12418,12418
120,22,5,14602,14602,14602,14602,14602,14602
121,22,6,31495,31495,31495,31495,31495,31495
122,23,1,14105,14105,14105,14105,14105,14105
123,23,2,14043,14043,14043,14043,14043,14043
124,23,3,14581,14581,14581,14581,14581,14581
125,23,4,15725,15725,15725,15725,15725,15725
126,23,5,15185,15185,15185,15185,15185,15185
127,23,6,34779,34779,34779,34779,34779,34779
128,24,1,15650,15650,15650,15650,15650,15650
129,24,2,14975,14975,14975,14975,14975,14975
130,24,3,16845,16845,16845,16845,16845,16845
131,24,4,15355,15355,15355,15355,15355,15355
132,24,5,16880,16880,16880,16880,16880,16880
133,24,6,35305,35305,35305,35305,35305,35305
134,25,1,14675,14675,14675,14675,14675,14675
135,25,2,16300,16300,16300,16300,16300,16300
136,25,3,16785,16785,16785,16785,16785,16785
137,25,4,17210,17210,17210,17210,17210,17210
138,25,5,16785,16785,16785,16785,16785,16785
139,25,6,36320,36320,36320,36320,36320,36320
140,26,1,16590,16590,16590,16590,16590,16590
141,26,2,17120,17120,17120,17120,17120,17120
142,26,3,17220,17220,17220,17220,17220,17220
143,26,4,17965,17965,17965,17965,17965,17965
144,26,5,18280,18280,18280,18280,18280,18280
145,26,6,36570,36570,36570,36570,36570,36570
146,27,1,22025,22025,22025,22025,22025,22025
147,27,2,22250,22250,22250,22250,22250,22250
148,27,3,21645,21645,21645,21645,21645,21645
149,27,4,23375,23375,23375,23375,23375,23375
150,27,5,20200,20200,20200,20200,20200,20200
151,27,6,39305,39305,39305,39305,39305,39305
152,28,1,25010,25010,25010,25010,25010,25010
153,28,2,24135,24135,24135,24135,24135,24135
154,28,3,25560,25560,25560,25560,25560,25560
155,28,4,25120,25120,25120,25120,25120,25120
156,28,5,24920,24920,24920,24920,24920,24920
157,28,6,32400,32400,32400,32400,32400,32400
158,29,1,22365,22365,22365,22365,22365,22365
159,29,2,22480,22480,22480,22480,22480,22480
160,29,3,25065,25065,25065,25065,25065,25065
161,29,4,22475,22475,22475,22475,22475,22475
162,29,5,23610,23610,23610,23610,23610,23610
163,29,6,50405,50405,50405,50405,50405,50405
164,30,1,24270,24270,24270,24270,24270,24270
165,30,2,23340,23340,23340,23340,23340,23340
166,30,3,27270,27270,27270,27270,27270,27270
167,30,4,24385,24385,24385,24385,24385,24385
168,30,5,26645,26645,26645,26645,26645,26645
169,30,6,53870,53870,53870,53870,53870,53870
170,31,1,24995,24995,24995,24995,24995,24995
171,31,2,30780,30780,30780,30780,30780,30780
172,31,3,32590,32590,32590,32590,32590,32590
173,31,4,33440,33440,33440,33440,33440,33440
174,31,5,29825,29825,29825,29825,29825,29825
175,31,6,62420,62420,62420,62420,62420,62420
176,32,1,24640,24640,24640,24640,24640,24640
177,32,2,24640,24640,24640,24640,24640,24640
178,32,3,31250,31250,31250,31250,31250,31250
179,32,4,25960,25960,25960,25960,25960,25960
180,32,5,29200,29200,29200,29200,29200,29200
181,32,6,49455,49455,49455,49455,49455,49455
182,33,1,27130,27130,27130,27130,27130,27130
183,33,2,32690,32690,32690,32690,32690,32690
184,33,3,32180,32180,32180,32180,32180,32180
185,33,4,33010,33010,33010,33010,33010,33010
186,33,5,24300,24300,24300,24300,24300,24300
187,33,6,49685,49685,49685,49685,49685,49685
188,34,1,29370,29370,29370,29370,29370,29370
189,34,2,31490,31490,31490,31490,31490,31490
190,34,3,31550,31550,31550,31550,31550,31550
191,34,4,32380,32380,32380,32380,32380,32380
192,34,5,24970,24970,24970,24970,24970,24970
193,34,6,48710,48710,48710,48710,48710,48710
194,35,1,32588,32588,32588,32588,32588,32588
195,35,2,38800,38800,38800,38800,38800,38800
196,35,3,29531,29531,29531,29531,29531,29531
197,35,4,41391,41391,41391,41391,41391,41391
198,35,5,34756,34756,34756,34756,34756,34756
199,35,6,71393,71393,71393,71393,71393,71393
200,36,1,38756,38756,38756,38756,38756,38756
201,36,2,31868,31868,31868,31868,31868,31868
202,36,3,41524,41524,41524,41524,41524,41524
203,36,4,34684,34684,34684,34684,34684,34684
204,36,5,41040,41040,41040,41040,41040,41040
205,36,6,77466,77466,77466,77466,77466,77466
206,37,1,35230,35230,35230,35230,35230,35230
207,37,2,34730,34730,34730,34730,34730,34730
208,37,3,43970,43970,43970,43970,43970,43970
209,37,4,37700,37700,37700,37700,37700,37700
210,37,5,41070,41070,41070,41070,41070,41070
211,37,6,66655,66655,66655,66655,66655,66655
212,38,1,40832,40832,40832,40832,40832,40832
213,38,2,50352,50352,50352,50352,50352,50352
214,38,3,52274,52274,52274,52274,52274,52274
215,38,4,53314,53314,53314,53314,53314,53314
216,38,5,48245,48245,48245,48245,48245,48245
217,38,6,107842,107842,107842,107842,107842,107842
218,39,1,52158,52158,52158,52158,52158,52158
219,39,2,52158,52158,52158,52158,52158,52158
220,39,3,51596,51596,51596,51596,51596,51596
221,39,4,54342,54342,54342,54342,54342,54342
222,39,5,44548,44548,44548,44548,44548,44548
223,39,6,89124,89124,89124,89124,89124,89124
224,40,1,44660,44660,44660,44660,44660,44660
225,40,2,42735,42735,42735,42735,42735,42735
226,40,3,51270,51270,51270,51270,51270,51270
227,40,4,43845,43845,43845,43845,43845,43845
228,40,5,53045,53045,53045,53045,53045,53045
229,40,6,103775,103775,103775,103775,103775,103775
230,41,1,45260,45260,45260,45260,45260,45260
231,41,2,45860,45860,45860,45860,45860,45860
232,41,3,55620,55620,55620,55620,55620,55620
233,41,4,48860,48860,48860,48860,48860,48860
234,41,5,53020,53020,53020,53020,53020,53020
235,41,6,86210,86210,86210,86210,86210,86210
236,42,1,,47295,47295,47295,47295,47295
237,42,2,,47828,47828,47828,47828,47828
238,42,3,,46385,46385,46385,46385,46385
239,42,4,,53509,53509,53509,53509,53509
240,42,5,,42256,42256,42256,42256,42256
241,42,6,,82496,82496,82496,82496,82496
242,43,1,,42880,42880,42880,42880,42880
243,43,2,,45954,45954,45954,45954,45954
244,43,3,,52724,52724,52724,52724,52724
245,43,4,,46302,46302,46302,46302,46302
246,43,5,,46982,46982,46982,46982,46982
247,43,6,,97352,97352,97352,97352,97352
248,44,1,,43880,43880,43880,43880,43880
249,44,2,,42130,42130,42130,42130,42130
250,44,3,,52910,52910,52910,52910,52910
251,44,4,,46105,46105,46105,46105,46105
252,44,5,,51065,51065,51065,51065,51065
253,44,6,,80830,80830,80830,80830,80830
254,45,1,,71890,71890,71890,71890,71890
255,45,2,,62810,62810,62810,62810,62810
256,45,3,,55710,55710,55710,55710,55710
257,45,4,,64490,64490,64490,64490,64490
258,45,5,,54930,54930,54930,54930,54930
259,45,6,,128040,128040,128040,128040,128040
